label,n_test,n_pos,n_hospit,n_icu,n_death
All notifications,6205673,636315,26889,2508,9680
Missing ID,6193646,636315,26669,2480,9634
Missing date,6178171,620973,26669,2480,9634
Date before 1 March 2020,6178048,620935,26650,2479,9634
Date before 23 May 2020 for total tests,6113730,620935,26650,2479,9634
Residence outside of Switzerland,5915487,616744,26405,2459,9567
Missing canton,5804169,616740,26405,2459,9567
Missing age or sex,5795414,614417,26335,2449,9531
"Missing address, postcode and town",5790365,612165,26274,2443,9466
Missing postcode and town,5787552,611116,26229,2435,9433
Geocoding failed,4134391,610287,26175,2433,9400
Geocode outside of Switzerland,4129636,609782,26143,2432,9383
